name,price
Google Chromebook New Laptop for Student and Meeting  Online education and learning,"₱6,166.00"
[Support installment payment] notebook laptop RAM8G+SSD128G 256G 512G laptop murah original laptop new 2021 murahfor student office work,"₱15,777.00"
Lenovo Chromebook C330 81HY0000US (Blizzard White) 11.6-in Touch HD MediaTek MT8173C/4GB/64GB eMMC/PowerVR GX6250/Chrome OS,"₱12,995.00"
Windows 10 Pro 64bit Installer W/ Intaller Tools w/ license,₱339.89
Arm 4 Core Processor （A64）2GB +16GB Students Learn Computer Android Computer(10.1-Inch) 4 Colors,"₱5,199.00"
"LENOVO IDEAPAD D330 82H0000HPH 2IN1 (LAPTOP/TABLET) | CELERON N4020 | INTEGRATED GRAPHICS | 10.1"" HD | MEMORY 4GB | STORAGE 64GB EMMC 5.1 | OS:WIN10 PRO |  FRONT CAM 2MP | REAR CAMERA 5MP | WARRANTY 1YR","₱10,995.00"
【COD+Free gift+laptop brand new】Laptop i5 I 13.3in I HDMI interface I Fifth generation processor I Core i5 I 8GB/16GB SSD I 128GB/256GB/512GB SSD I Portable I Built in camera I Suitable for online courses / learning / work,"₱19,396.00"
Inspiron Lingyue game box 15-7000 / 7557 Intel i5 new authentic notebook Game Book,"₱25,157.00"
NEC - LAPTOP CORE i3 350M - 4GB RAM - 250GB HDD - WIFI READY - DEAD BATTERY USE WITH CHARGER ONLY - FREE MOUSE AND MOUSEPAD - USED,"₱4,734.00"
"Acer Extensa 15 EX215-31-P6XB 15.6"" Full HD Laptop with Intel Pentium Silver N5030 Processor, 4GB DDR4, 1TB HDD, Intel UDH Graphics, Windows 10 Home Single Language Operating System and FREE Acer Bag","₱19,005.00"
Free Gift 14 Inch Fedemer Notebook 2G/4G/6GB RAM and 64GB/128G/564G ROM Ultra-thin Laptop Windows 10 laptop sale lowest price WiFi Camera Bluetooth HDMI (Without RJ-45 Network Port) affordable laptop,"₱8,438.88"
LAPTOP SALE HP AND TOSHIBA BRAND WITH INTEL I5 PROCESSOR GOOD FOR BASIC ONLINE GAMES AND WORK FROM HOME ONLINE SCHOOLING (CHECK THE VARIANT FOR FULL SPECS),"₱8,330.00"
Lenovo Thinkpad X240 12.5 Inch Core i5/i7 4G/8G 128G/256G/320G/500G SSD/HDD student Laptop Thin Portable lowest price Laptop On Sale used Laptop,"₱13,510.00"
【Free Mouse & Mouse Pad+COD】NEW 2021 Teclast 15.6inch F15pro Intel Core i3 Laptop Notebook Play gta v computer Notebook DDR4 12GB SSD 256GB Windows 10 OS With Silent Cooling Fan1 year warranty,"₱22,499.00"
【COD+Free gift+laptop brand new】Laptop games I GTX1050 Graphics card I Eighth generation processor I Core i7  I  15.6in+1920*1080 I 16GB RAM(DDR4)  I 512GB SSD I Backlit keyboard + built-in keypad I Can play large 3D games + advanced design,"₱24,046.00"
【COD+Free gift+laptop brand new】Laptop i7 I Second generation Processor Core i7 I  13.3in I Pro+Air I 8GB RAM I 256GB SSD I Suitable for online education + work + study + Entertainment,"₱19,006.00"
Laptop / Panasonic Core i5-430M / 4GB RAM / 250GB HDD / FREE WEBCAM / Intel HD Graphics / Wifi Ready / with Charger / USED,"₱5,480.00"
Toshiba Laptop Satellite B551/D Intel Core i5-2nd Gen 4Gb 250Gb,"₱9,000.00"
【One year warranty / free gift 】 laptop new / 14.1 inch HD resolution I second generation processor I core i7i 4GB / 8GB ram I 128GB SSD I light and portable + online teaching + work + study,"₱15,380.70"
Laptop / NEC / Core i5 2nd Gen / 4GB RAM / 320GB HDD / Wifi Ready / Dead Battery - Charger Plugin Only / Free Webcam Mouse and Mousepad / USED,"₱5,999.00"
LAPTOP NEC CORE i3-330M / 4GB RAM /  320GB HDD / WIFI READY /  FREE WEBCAM / DEAD BATTERY - CHARGER PLUGIN ONLY / USED,"₱4,325.00"
[12 free gifts + quick delivery] notebook games I RGB keyboard I 120Hz I 1080p IPS FHD I ninth generation Core i7 I 8GB ram I 512GB SSD I gtx1650-4g I English version system I professional e-sports game notebook,"₱37,600.00"
【laptop for sale brand new lowest price+10 gifts】New Laptop/Core i7+i5+i3 Processor /8GB RAM/128GB SSD/14.1in+15.6in,"₱17,099.80"
Laptop / NEC / CORE i5-430M / 8GB RAM / 250GB HDD / DEAD BATTERY CHARGER PLUGIN ONLY / WIFI READY,"₱6,790.00"
HP laptop 15-inch ultra-thin large screen HD 450 Intel Core i3/i5/i7 480G solid state hard drive game student office multifunctional laptop,"₱19,300.00"
"LAPTOP ASSORTED MODEL AND BRAND  | FREE CHARGER | FOR BUSINESS, WORK FROM HOME, ONLINE CLASS | INTEL CORE 2, CELERON, INTEL CORE ,i3, i5, i7,","₱5,781.00"
"「Local Warranty」DERE Official V14s Laptop For Sale Brand New 14.1 inch FHD Screen | Intel N5095 CPU | Windows 10 Pro | 2.4G+5G WiFi Online Learning Computer PC (12+128/12+256, Dark Green/Pink/Silver)","₱15,499.00"
"Laptop Set ( Nec VersaPro, Intel Core i7 1st Gen, 4GB Ram DDR3, 120GB SSD, 12.5"" Inches Screen, Intel HD Graphics, No DVD Rom, Free WEB Cam or Headset ) Good for Online Class / work from home gaming","₱8,722.00"
Laptop Built-In Speakers for HP G6 G6-1000 Laptop Internal Left and Right Speakers Sound Black,₱271.00
【Laptop New Window 10】 8G 12G RAM 1TB 512GB 256GB 128GB SSD ROM With keyboard 1920*1080 Screenlaptop for student murah notebook laptop slim notebook computer for student for office ace factory,"₱14,797.00"
HUAWEI MateBook D 15 Laptop | 10th Generation Intel® CoreTM | i5-10210U processor | 15.6-inch IPS anti-glare screen | HUAWEI Share,"₱31,999.00"
2021 NEW Teclast Official F6 13.3 Inch Laptop 8GB RAM DDR4 128GB SSD Genunie Windows 10 Inte Apollo Lake Traditional Notebook 1920X1080 FHD IPS Screen Online Learning Computer PC 1 Year Warranty Brand New Original Authentic,"₱13,299.00"
Apple MacBook Air 13-inch M1 Chip 256GB (Space Gray),"₱51,990.00"
HP 15.6 Intel Pentium 4GB Ram + 128GB SSD with Free Logitech M90 Professional Mouse,"₱19,459.00"
Laptop Toshiba Intel Core i5 2nd-gen 4gb ram 250gb hdd 15.6 panel full keyboard (Aprildata Legit),"₱7,498.00"
Lenovo IdeaPad D330-10IGM 81H300E7PH Detachable 2-in-1 Laptop,"₱23,993.00"
"Acer Travelmate TMP214-52-3235 14"" Laptop with Intel Core i3-10110U 10th Gen Processor, 8GB Memory, 128GB M.2 SSD+1TB 2.5-inch 5400 RPM Storage, Intel UHD Graphics, Windows 10, and Free Acer Backpack","₱28,797.00"
【COD+Free gift+laptop brand new】Laptop i7  I Fourth generation core processor  I 15.6in  I Built in camera + keypad  I DDR3 8GB RAM  I 240GB SSD I  Pre installed window10+office,"₱16,141.00"
HP 6550b 6560b 6570b ｜Intel Core i5-1 /i7-1 /i5-2 /i7-2 /i5-3 /i5-7 | RAM 4G/8G | Hard disk 128G/ 256G/ 320G|15.6 inch | second hand laptop lowest price laptop wifi ready good for game 1 year warranty,"₱13,500.00"
LAPTOP / FUJITSU WKB / CORE i3-2ND GEN / 4GB RAM / 320GB HDD / WIFI READY / WITH CHARGER / FREE MOUSE AND MOUSEPAD / USED,"₱5,556.00"
